iter	Passed	Remaining
0	144	14297
1	146	7182
2	148	4801
3	150	3611
4	152	2896
5	154	2419
6	157	2087
7	159	1832
8	161	1631
9	163	1468
10	165	1336
11	166	1224
12	168	1129
13	171	1050
14	174	987
15	176	927
16	179	874
17	181	828
18	185	789
19	187	750
20	191	721
21	194	690
22	196	658
23	198	628
24	200	601
25	202	577
26	205	556
27	207	534
28	209	514
29	211	493
30	213	476
31	215	458
32	217	442
33	221	429
34	223	414
35	225	400
36	227	387
37	229	373
38	231	361
39	233	350
40	238	343
41	241	333
42	244	324
43	247	315
44	252	309
45	255	299
46	259	292
47	262	283
48	264	275
49	267	267
50	270	259
51	272	251
52	274	243
53	276	235
54	279	228
55	283	222
56	285	215
57	288	208
58	290	201
59	294	196
60	298	190
61	300	184
62	303	178
63	306	172
64	308	165
65	310	159
66	314	154
67	316	148
68	319	143
69	321	137
70	323	132
71	325	126
72	330	122
73	333	117
74	336	112
75	339	107
76	344	102
77	346	97
78	349	92
79	351	87
80	354	83
81	357	78
82	360	73
83	362	69
84	365	64
85	368	59
86	370	55
87	375	51
88	378	46
89	381	42
90	383	37
91	386	33
92	390	29
93	393	25
94	395	20
95	397	16
96	399	12
97	401	8
98	403	4
99	406	0
